Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross,Release Year,Release Month,Release Month Name,Release Quarter,Decade,Season,Inflation Multiplier,Rank (Nominal),Rank (Inflation Adj),Pct (Nominal),Pct (Inflation Adj),Gross Bucket (Nominal),Franchise Tag
102 Dalmatians,2000-11-22,Comedy,G,66941559,104055039,2000,11,November,4,2000,Fall,1.554416129,161,171,0.2781,0.2953,$50–100M,102 Dalmatians
The Emperor's New Groove,2000-12-15,Adventure,G,89296573,136789252,2000,12,December,4,2000,Winter,1.531853322,122,128,0.2107,0.2211,$50–100M,The Emperor's New Groove
"O Brother, Where Art Thou?",2000-12-22,Comedy,PG-13,45506619,67922002,2000,12,December,4,2000,Winter,1.492574124,235,250,0.4059,0.4318,$10–50M,"O Brother, Where Art Thou?"
Double Take,2001-01-12,Action,PG-13,29823162,44418589,2001,1,January,1,2000,Winter,1.489399045,294,333,0.5078,0.5751,$10–50M,Double Take
Recess: School's Out,2001-02-16,Comedy,G,36696761,54656124,2001,2,February,1,2000,Winter,1.489399133,266,294,0.4594,0.5078,$10–50M,Recess
Just Visiting,2001-04-06,Comedy,PG-13,4777007,7114869,2001,4,April,2,2000,Spring,1.489398906,516,528,0.8912,0.9119,<$10M,Just Visiting
Pearl Harbor,2001-05-25,Action,PG-13,198539855,295705112,2001,5,May,2,2000,Spring,1.489399254,46,46,0.0794,0.0794,$100–300M,Pearl Harbor
Atlantis: The Lost Empire,2001-06-08,Adventure,PG,84052762,125188122,2001,6,June,2,2000,Summer,1.489399266,131,139,0.2263,0.2401,$50–100M,Atlantis
crazy/beautiful,2001-06-29,Drama,PG-13,16929123,25214223,2001,6,June,2,2000,Summer,1.489399244,406,420,0.7012,0.7254,$10–50M,crazy/beautiful
The Princess Diaries,2001-08-03,Comedy,G,108244774,161218928,2001,8,August,3,2000,Summer,1.489392255,95,107,0.1641,0.1848,$100–300M,The Princess Diaries
Bubble Boy,2001-08-24,Comedy,PG-13,5002310,7450434,2001,8,August,3,2000,Summer,1.489398698,513,524,0.886,0.905,<$10M,Bubble Boy
Max Keeble's Big Move,2001-10-05,Comedy,PG,17292381,25749730,2001,10,October,4,2000,Fall,1.489079497,401,417,0.6926,0.7202,$10–50M,Max Keeble's Big Move
Corky Romano,2001-10-12,Comedy,PG-13,23978402,35705805,2001,10,October,4,2000,Fall,1.489081925,341,368,0.5889,0.6356,$10–50M,Corky Romano
High Heels and Low Lifes,2001-10-26,Action,R,226792,337782,2001,10,October,4,2000,Fall,1.48939116,566,565,0.9775,0.9758,<$10M,High Heels and Low Lifes
"Monsters, Inc.",2001-11-02,Adventure,G,289423425,416073179,2001,11,November,4,2000,Fall,1.437593308,23,23,0.0397,0.0397,$100–300M,"Monsters, Inc."
Out Cold,2001-11-21,Comedy,PG-13,13906394,20700691,2001,11,November,4,2000,Fall,1.488573601,426,445,0.7358,0.7686,$10–50M,Out Cold
The Royal Tenenbaums,2001-12-14,Black Comedy,R,52353636,76758193,2001,12,December,4,2000,Winter,1.466148273,207,229,0.3575,0.3955,$50–100M,The Royal Tenenbaums
Beauty and the Beast (IMAX),2002-01-01,Musical,G,25487028,36980311,2002,1,January,1,2000,Winter,1.450946379,326,362,0.563,0.6252,$10–50M,Beauty and the Beast (IMAX)
Snow Dogs,2002-01-18,Comedy,PG,81150692,117745317,2002,1,January,1,2000,Winter,1.450946555,137,150,0.2366,0.2591,$50–100M,Snow Dogs
The Count of Monte Cristo,2002-01-25,Drama,PG-13,54228104,78682079,2002,1,January,1,2000,Winter,1.450946524,201,223,0.3472,0.3851,$50–100M,The Count of Monte Cristo
Peter Pan: Return to Neverland,2002-02-15,Adventure,G,48430258,70269715,2002,2,February,1,2000,Winter,1.450946534,225,243,0.3886,0.4197,$10–50M,Peter Pan
Reign of Fire,2002-02-19,Action,PG-13,43061982,62480631,2002,2,February,1,2000,Winter,1.450946475,245,264,0.4231,0.456,$10–50M,Reign of Fire
Sorority Boys,2002-03-22,Comedy,R,10198766,14797862,2002,3,March,1,2000,Spring,1.45094632,462,475,0.7979,0.8204,$10–50M,Sorority Boys
The Rookie,2002-03-29,Drama,G,75600072,109691666,2002,3,March,1,2000,Spring,1.450946581,146,159,0.2522,0.2746,$50–100M,The Rookie
Big Trouble,2002-04-05,Comedy,PG-13,7262288,10537188,2002,4,April,2,2000,Spring,1.450946038,493,504,0.8515,0.8705,<$10M,Big Trouble
ESPN's Ultimate X - The Movie,2002-05-10,Documentary,PG,4197175,6089874,2002,5,May,2,2000,Spring,1.450945934,527,535,0.9102,0.924,<$10M,ESPN's Ultimate X - The Movie
Bad Company,2002-06-07,Action,PG-13,30157016,43756218,2002,6,June,2,2000,Summer,1.450946539,293,336,0.506,0.5803,$10–50M,Bad Company
Lilo & Stitch,2002-06-21,Adventure,PG,145771527,211506702,2002,6,June,2,2000,Summer,1.450946604,65,76,0.1123,0.1313,$100–300M,Lilo & Stitch
The Country Bears,2002-07-26,Adventure,G,16988996,24650121,2002,7,July,3,2000,Summer,1.450946307,405,425,0.6995,0.734,$10–50M,The Country Bears
Signs,2002-08-02,Thriller/Suspense,PG-13,227965690,330754439,2002,8,August,3,2000,Summer,1.450895698,35,40,0.0604,0.0691,$100–300M,Signs
Sen to Chihiro no Kamikakushi,2002-09-20,Adventure,PG,10049886,14338992,2002,9,September,3,2000,Fall,1.426781558,464,482,0.8014,0.8325,$10–50M,Sen to Chihiro no Kamikakushi
Sweet Home Alabama,2002-09-27,Comedy,PG-13,127214072,184521151,2002,9,September,3,2000,Fall,1.450477515,82,91,0.1416,0.1572,$100–300M,Sweet Home Alabama
Moonlight Mile,2002-09-27,Drama,PG-13,6830957,9909094,2002,9,September,3,2000,Fall,1.450615778,498,507,0.8601,0.8756,<$10M,Moonlight Mile
Tuck Everlasting,2002-10-11,Drama,PG,19161999,27789959,2002,10,October,4,2000,Fall,1.450264088,385,409,0.6649,0.7064,$10–50M,Tuck Everlasting
The Santa Clause 2,2002-11-01,Comedy,G,139225854,201959095,2002,11,November,4,2000,Fall,1.450586146,71,81,0.1226,0.1399,$100–300M,The Santa Clause 2
Treasure Planet,2002-11-27,Adventure,PG,38120554,55189145,2002,11,November,4,2000,Fall,1.447752963,260,289,0.4491,0.4991,$10–50M,Treasure Planet
The Hot Chick,2002-12-13,Comedy,PG-13,35081550,50624654,2002,12,December,4,2000,Winter,1.443056364,272,309,0.4698,0.5337,$10–50M,The Hot Chick
25th Hour,2002-12-19,Drama,R,13084595,18325463,2002,12,December,4,2000,Winter,1.400537273,431,458,0.7444,0.791,$10–50M,25th Hour
The Recruit,2003-01-31,Thriller/Suspense,PG-13,52784696,73793522,2003,1,January,1,2000,Winter,1.398009794,206,236,0.3558,0.4076,$50–100M,The Recruit
Shanghai Knights,2003-02-07,Adventure,PG-13,60470220,84537962,2003,2,February,1,2000,Winter,1.39800983,181,213,0.3126,0.3679,$50–100M,Shanghai Knights
The Jungle Book 2,2003-02-14,Adventure,G,47901582,66966883,2003,2,February,1,2000,Winter,1.39800984,228,256,0.3938,0.4421,$10–50M,The Jungle Book 2
Bringing Down the House,2003-03-07,Comedy,PG-13,132675402,185481530,2003,3,March,1,2000,Spring,1.398009934,78,90,0.1347,0.1554,$100–300M,Bringing Down the House
Piglet's Big Movie,2003-03-21,Comedy,G,23103423,32298812,2003,3,March,1,2000,Spring,1.39800981,346,383,0.5976,0.6615,$10–50M,Piglet's Big Movie
Ghosts of the Abyss,2003-04-11,Documentary,G,17093668,23803108,2003,4,April,2,2000,Spring,1.392510256,404,430,0.6978,0.7427,$10–50M,Ghosts of the Abyss
Holes,2003-04-18,Drama,PG,67383924,94203395,2003,4,April,2,2000,Spring,1.398009932,157,189,0.2712,0.3264,$50–100M,Holes
The Lizzie McGuire Movie,2003-05-02,Comedy,PG,42734455,59743191,2003,5,May,2,2000,Spring,1.398009896,246,272,0.4249,0.4698,$10–50M,The Lizzie McGuire Movie
Finding Nemo,2003-05-30,Adventure,G,380529370,518148559,2003,5,May,2,2000,Spring,1.361651951,12,15,0.0207,0.0259,>$300M,Finding Nemo
Pirates of the Caribbean: The Curse o…,2003-07-09,Adventure,PG-13,305411224,426967926,2003,7,July,3,2000,Summer,1.398009937,19,21,0.0328,0.0363,>$300M,Pirates of the Caribbean
Freaky Friday,2003-08-06,Comedy,PG,110222438,154090360,2003,8,August,3,2000,Summer,1.397994481,93,117,0.1606,0.2021,$100–300M,Freaky Friday
Open Range,2003-08-15,Western,R,58331254,81547672,2003,8,August,3,2000,Summer,1.398009924,187,219,0.323,0.3782,$50–100M,Open Range
Cold Creek Manor,2003-09-19,Thriller/Suspense,R,21384035,29895090,2003,9,September,3,2000,Fall,1.398009777,364,399,0.6287,0.6891,$10–50M,Cold Creek Manor
Under the Tuscan Sun,2003-09-26,Comedy,PG-13,43601508,60944053,2003,9,September,3,2000,Fall,1.397751037,243,268,0.4197,0.4629,$10–50M,Under the Tuscan Sun
Veronica Guerin,2003-10-17,Drama,R,1569918,2194759,2003,10,October,4,2000,Fall,1.398008686,549,551,0.9482,0.9516,<$10M,Veronica Guerin
Brother Bear,2003-10-24,Adventure,G,85336277,119218333,2003,10,October,4,2000,Fall,1.397041647,126,145,0.2176,0.2504,$50–100M,Brother Bear
The Haunted Mansion,2003-11-26,Comedy,PG,75817994,105775678,2003,11,November,4,2000,Fall,1.395126307,145,169,0.2504,0.2919,$50–100M,The Haunted Mansion
Calendar Girls,2003-12-19,Comedy,PG-13,31011616,42379650,2003,12,December,4,2000,Winter,1.366573416,287,344,0.4957,0.5941,$10–50M,Calendar Girls
Young Black Stallion,2003-12-25,Adventure,G,6751389,9254344,2003,12,December,4,2000,Winter,1.37073186,499,513,0.8618,0.886,<$10M,Young Black Stallion
Teacher's Pet: The Movie,2004-01-16,Comedy,PG,6491969,8812764,2004,1,January,1,2000,Winter,1.357487074,500,517,0.8636,0.8929,<$10M,Teacher's Pet
Miracle,2004-02-06,Drama,PG,64378093,87392478,2004,2,February,1,2000,Winter,1.357487834,169,207,0.2919,0.3575,$50–100M,Miracle
Confessions of a Teenage Drama Queen,2004-02-20,Comedy,PG,29331068,39816568,2004,2,February,1,2000,Winter,1.357487835,296,354,0.5112,0.6114,$10–50M,Confessions of a Teenage Drama Queen
Hidalgo,2004-03-05,Western,PG-13,67286731,91340921,2004,3,March,1,2000,Spring,1.357487868,158,197,0.2729,0.3402,$50–100M,Hidalgo
The Ladykillers,2004-03-26,Comedy,R,39692139,53881593,2004,3,March,1,2000,Spring,1.357487764,254,296,0.4387,0.5112,$10–50M,The Ladykillers
Home on the Range,2004-04-02,Comedy,PG,50026353,67910166,2004,4,April,2,2000,Spring,1.357487842,220,251,0.38,0.4335,$50–100M,Home on the Range
The Alamo,2004-04-09,Western,PG-13,22406362,30416359,2004,4,April,2,2000,Spring,1.357487619,353,394,0.6097,0.6805,$10–50M,The Alamo
Raising Helen,2004-05-28,Comedy,PG-13,37485528,50886144,2004,5,May,2,2000,Spring,1.357487722,262,306,0.4525,0.5285,$10–50M,Raising Helen
Around the World in 80 Days,2004-06-16,Adventure,PG,24004159,32585356,2004,6,June,2,2000,Summer,1.357487925,340,382,0.5872,0.6598,$10–50M,Around the World in 80 Days
America's Heart and Soul,2004-07-02,Documentary,PG,314000,426246,2004,7,July,3,2000,Summer,1.357471338,562,563,0.9706,0.9724,<$10M,America's Heart and Soul
King Arthur,2004-07-07,Adventure,PG-13,51877963,70423706,2004,7,July,3,2000,Summer,1.35748788,209,242,0.361,0.418,$50–100M,King Arthur
The Village,2004-07-30,Thriller/Suspense,PG-13,114197520,155021748,2004,7,July,3,2000,Summer,1.357487868,88,115,0.152,0.1986,$100–300M,The Village
The Princess Diaries 2: Royal Engagement,2004-08-11,Romantic Comedy,G,95149435,129164207,2004,8,August,3,2000,Summer,1.357487903,108,136,0.1865,0.2349,$50–100M,The Princess Diaries 2
Mr. 3000,2004-09-17,Comedy,PG-13,21800302,29593641,2004,9,September,3,2000,Fall,1.357487662,357,401,0.6166,0.6926,$10–50M,Mr. 3000
The Last Shot,2004-09-24,Comedy,R,463730,629502,2004,9,September,3,2000,Fall,1.357475255,561,561,0.9689,0.9689,<$10M,The Last Shot
Ladder 49,2004-10-01,Action,PG-13,74541707,101161045,2004,10,October,4,2000,Fall,1.357106633,148,177,0.2556,0.3057,$50–100M,Ladder 49
The Incredibles,2004-11-05,Adventure,PG,261441092,354488708,2004,11,November,4,2000,Fall,1.355902797,25,36,0.0432,0.0622,$100–300M,The Incredibles
National Treasure,2004-11-19,Adventure,PG,173005002,234069353,2004,11,November,4,2000,Fall,1.352962922,54,68,0.0933,0.1174,$100–300M,National Treasure
The Life Aquatic with Steve Zissou,2004-12-10,Comedy,R,24006726,32198655,2004,12,December,4,2000,Winter,1.341234744,339,385,0.5855,0.6649,$10–50M,The Life Aquatic with Steve Zissou
Aliens of the Deep,2005-01-28,Documentary,G,8968684,11740942,2005,1,January,1,2000,Winter,1.309104212,472,495,0.8152,0.8549,<$10M,Aliens of the Deep
Pooh's Heffalump Movie,2005-02-11,Adventure,G,18098433,23801835,2005,2,February,1,2000,Winter,1.315132365,394,431,0.6805,0.7444,$10–50M,Pooh's Heffalump Movie
The Pacifier,2005-03-04,Comedy,PG,113006880,148619029,2005,3,March,1,2000,Spring,1.315132574,90,120,0.1554,0.2073,$100–300M,The Pacifier
Ice Princess,2005-03-18,Comedy,G,24381334,32064685,2005,3,March,1,2000,Spring,1.315132511,335,386,0.5786,0.6667,$10–50M,Ice Princess
A Lot Like Love,2005-04-22,Comedy,PG-13,21835784,28716947,2005,4,April,2,2000,Spring,1.315132399,356,403,0.6149,0.696,$10–50M,A Lot Like Love
The Hitchhiker's Guide to the Galaxy,2005-04-29,Comedy,PG,51019112,67096891,2005,4,April,2,2000,Spring,1.315132474,213,255,0.3679,0.4404,$50–100M,The Hitchhiker's Guide to the Galaxy
Hauru no ugoku shiro,2005-06-10,Adventure,PG,4710455,6194870,2005,6,June,2,2000,Summer,1.315131978,519,534,0.8964,0.9223,<$10M,Hauru no ugoku shiro
Herbie: Fully Loaded,2005-06-22,Comedy,G,66010682,86812798,2005,6,June,2,2000,Summer,1.315132572,163,208,0.2815,0.3592,$50–100M,Herbie
Dark Water,2005-07-08,Thriller/Suspense,PG-13,25473093,33500491,2005,7,July,3,2000,Summer,1.315132442,327,379,0.5648,0.6546,$10–50M,Dark Water
Sky High,2005-07-29,Adventure,PG,63939454,84088854,2005,7,July,3,2000,Summer,1.3151325,171,214,0.2953,0.3696,$50–100M,Sky High
Valiant,2005-08-19,Adventure,G,19478106,25616292,2005,8,August,3,2000,Summer,1.31513259,379,418,0.6546,0.7219,$10–50M,Valiant
Flightplan,2005-09-23,Thriller/Suspense,PG-13,89706988,117960425,2005,9,September,3,2000,Fall,1.314952465,119,148,0.2055,0.2556,$50–100M,Flightplan
The Greatest Game Ever Played,2005-09-30,Drama,PG,15331289,20162672,2005,9,September,3,2000,Fall,1.315132211,416,449,0.7185,0.7755,$10–50M,The Greatest Game Ever Played
Shopgirl,2005-10-21,Drama,R,10284523,13519621,2005,10,October,4,2000,Fall,1.314559849,459,485,0.7927,0.8377,$10–50M,Shopgirl
Chicken Little,2005-11-04,Adventure,G,135386665,177954661,2005,11,November,4,2000,Fall,1.314417938,76,100,0.1313,0.1727,$100–300M,Chicken Little
"The Chronicles of Narnia: The Lion, t…",2005-12-09,Adventure,PG,291710957,381557539,2005,12,December,4,2000,Winter,1.307998654,22,27,0.038,0.0466,$100–300M,The Chronicles of Narnia
Casanova,2005-12-25,Drama,R,11304403,14574087,2005,12,December,4,2000,Winter,1.289239865,449,479,0.7755,0.8273,$10–50M,Casanova
Glory Road,2006-01-13,Drama,PG,42647449,54888236,2006,1,January,1,2000,Winter,1.287022724,247,292,0.4266,0.5043,$10–50M,Glory Road
Annapolis,2006-01-27,Drama,PG-13,17127992,22044113,2006,1,January,1,2000,Winter,1.287022612,402,438,0.6943,0.7565,$10–50M,Annapolis
Roving Mars,2006-01-27,Documentary,G,10407978,12948025,2006,1,January,1,2000,Winter,1.244048075,457,489,0.7893,0.8446,$10–50M,Roving Mars
Eight Below,2006-02-17,Adventure,PG,81612565,105037235,2006,2,February,1,2000,Winter,1.287022838,136,170,0.2349,0.2936,$50–100M,Eight Below
The Shaggy Dog,2006-03-10,Comedy,PG,61123569,78667428,2006,3,March,1,2000,Spring,1.287022818,177,224,0.3057,0.3869,$50–100M,The Shaggy Dog
Stay Alive,2006-03-24,Horror,PG-13,23086480,29712825,2006,3,March,1,2000,Spring,1.287022751,347,400,0.5993,0.6908,$10–50M,Stay Alive
The Wild,2006-04-14,Adventure,G,37384046,48114115,2006,4,April,2,2000,Spring,1.287022678,263,319,0.4542,0.5509,$10–50M,The Wild
Stick It,2006-04-28,Comedy,PG-13,26910736,34634731,2006,4,April,2,2000,Spring,1.287022808,318,371,0.5492,0.6408,$10–50M,Stick It
Goal! The Dream Begins,2006-05-12,Drama,PG,4283255,5512647,2006,5,May,2,2000,Spring,1.287022837,526,538,0.9085,0.9292,<$10M,Goal! The Dream Begins
Cars,2006-06-09,Comedy,G,244082982,314140384,2006,6,June,2,2000,Summer,1.287022886,29,43,0.0501,0.0743,$100–300M,Cars
Pirates of the Caribbean: Dead Man’…,2006-07-07,Adventure,PG-13,423315812,544817142,2006,7,July,3,2000,Summer,1.287022895,6,12,0.0104,0.0207,>$300M,Pirates of the Caribbean
Step Up,2006-08-11,Drama,PG-13,65328121,84078780,2006,8,August,3,2000,Summer,1.287022782,166,215,0.2867,0.3713,$50–100M,Step Up
Invincible,2006-08-25,Drama,PG,57806952,74398864,2006,8,August,3,2000,Summer,1.287022779,190,234,0.3282,0.4041,$50–100M,Invincible
The Guardian,2006-09-29,Action,PG-13,55011732,70801353,2006,9,September,3,2000,Fall,1.287022794,199,240,0.3437,0.4145,$50–100M,The Guardian
The Prestige,2006-10-20,Thriller/Suspense,PG-13,53089891,68289913,2006,10,October,4,2000,Fall,1.286307275,204,247,0.3523,0.4266,$50–100M,The Prestige
Tim Burton's The Nightmare Before Chr…,2006-10-20,Musical,PG,24732041,30737517,2006,10,October,4,2000,Fall,1.24282169,332,391,0.5734,0.6753,$10–50M,Tim Burton's The Nightmare Before Chr…
The Santa Clause 3: The Escape Clause,2006-11-03,Comedy,G,84500122,108694869,2006,11,November,4,2000,Fall,1.286327953,129,163,0.2228,0.2815,$50–100M,The Santa Clause 3
Déjà Vu,2006-11-22,Thriller/Suspense,PG-13,64038616,82267038,2006,11,November,4,2000,Fall,1.284647345,170,217,0.2936,0.3748,$50–100M,Déjà Vu
Apocalypto,2006-12-08,Adventure,R,50866635,64959548,2006,12,December,4,2000,Winter,1.277056129,214,259,0.3696,0.4473,$50–100M,Apocalypto
Primeval,2007-01-12,Adventure,R,10597734,12985302,2007,1,January,1,2000,Winter,1.225290425,455,488,0.7858,0.8428,$10–50M,Primeval
Bridge to Terabithia,2007-02-16,Drama,PG,82234139,100760721,2007,2,February,1,2000,Winter,1.225290642,135,178,0.2332,0.3074,$50–100M,Bridge to Terabithia
Wild Hogs,2007-03-02,Comedy,PG-13,168213584,206110533,2007,3,March,1,2000,Spring,1.225290658,58,78,0.1002,0.1347,$100–300M,Wild Hogs
Meet the Robinsons,2007-03-30,Adventure,G,97822171,119860589,2007,3,March,1,2000,Spring,1.225290625,105,144,0.1813,0.2487,$50–100M,Meet the Robinsons
The Lookout,2007-03-30,Drama,R,4600585,5637048,2007,3,March,1,2000,Spring,1.225289393,520,537,0.8981,0.9275,<$10M,The Lookout
The Hoax,2007-04-06,Drama,R,7164995,8779196,2007,4,April,2,2000,Spring,1.225289899,496,518,0.8566,0.8946,<$10M,The Hoax
The Invisible,2007-04-27,Thriller/Suspense,PG-13,20568319,25202168,2007,4,April,2,2000,Spring,1.225290603,370,421,0.639,0.7271,$10–50M,The Invisible
Pirates of the Caribbean: At World’…,2007-05-24,Adventure,PG-13,309420425,379129960,2007,5,May,2,2000,Spring,1.22529067,18,28,0.0311,0.0484,>$300M,Pirates of the Caribbean
Ratatouille,2007-06-29,Comedy,G,206445654,252955933,2007,6,June,2,2000,Summer,1.225290667,41,63,0.0708,0.1088,$100–300M,Ratatouille
Underdog,2007-08-03,Adventure,PG,43760605,53619462,2007,8,August,3,2000,Summer,1.225290692,242,299,0.418,0.5164,$10–50M,Underdog
The Game Plan,2007-09-22,Comedy,PG,90648202,111010758,2007,9,September,3,2000,Fall,1.224632762,116,156,0.2003,0.2694,$50–100M,The Game Plan
Dan in Real Life,2007-10-20,Romantic Comedy,PG-13,47642963,58350234,2007,10,October,4,2000,Fall,1.224739821,229,279,0.3955,0.4819,$10–50M,Dan in Real Life
Enchanted,2007-11-21,Romantic Comedy,PG,127706877,156074310,2007,11,November,4,2000,Fall,1.222129252,81,114,0.1399,0.1969,$100–300M,Enchanted
National Treasure 2: Book of Secrets,2007-12-21,Adventure,PG,219961501,267003525,2007,12,December,4,2000,Winter,1.213864807,38,55,0.0656,0.095,$100–300M,National Treasure 2
Hannah Montana/Miley Cyrus: Best of B…,2008-02-01,Concert/Performance,G,65281781,76646993,2008,2,February,1,2000,Winter,1.174094699,167,230,0.2884,0.3972,$50–100M,Hannah Montana/Miley Cyrus
Step Up 2 the Streets,2008-02-14,Drama,PG-13,58017783,68118371,2008,2,February,1,2000,Winter,1.174094691,189,249,0.3264,0.4301,$50–100M,Step Up 2 the Streets
College Road Trip,2008-03-07,Comedy,G,45610425,53550960,2008,3,March,1,2000,Spring,1.174094738,232,300,0.4007,0.5181,$10–50M,College Road Trip
The Chronicles of Narnia: Prince Caspian,2008-05-16,Adventure,PG,141621490,166277038,2008,5,May,2,2000,Spring,1.17409468,68,103,0.1174,0.1779,$100–300M,The Chronicles of Narnia
WALL-E,2008-06-27,Adventure,G,223808164,262771918,2008,6,June,2,2000,Summer,1.174094427,36,56,0.0622,0.0967,$100–300M,WALL-E
Swing Vote,2008-08-01,Comedy,PG-13,16289867,19125841,2008,8,August,3,2000,Summer,1.174094362,409,455,0.7064,0.7858,$10–50M,Swing Vote
Goal! 2: Living the Dream...,2008-08-29,Drama,PG-13,225067,264247,2008,8,August,3,2000,Summer,1.174081496,567,568,0.9793,0.981,<$10M,Goal! 2
Miracle at St. Anna,2008-09-26,Drama,R,7916887,9295171,2008,9,September,3,2000,Fall,1.174094186,485,512,0.8377,0.8843,<$10M,Miracle at St. Anna
Beverly Hills Chihuahua,2008-10-03,Comedy,PG,94514402,110932022,2008,10,October,4,2000,Fall,1.173704956,110,157,0.19,0.2712,$50–100M,Beverly Hills Chihuahua
Morning Light,2008-10-17,Documentary,PG,275093,322979,2008,10,October,4,2000,Fall,1.174072041,564,566,0.9741,0.9775,<$10M,Morning Light
High School Musical 3: Senior Year,2008-10-24,Musical,G,90559416,106308538,2008,10,October,4,2000,Fall,1.173909271,117,165,0.2021,0.285,$50–100M,High School Musical 3
Bolt,2008-11-21,Comedy,PG,114053759,133702498,2008,11,November,4,2000,Fall,1.172276119,89,131,0.1537,0.2263,$100–300M,Bolt
Bedtime Stories,2008-12-25,Comedy,PG,110101975,128039679,2008,12,December,4,2000,Winter,1.162919003,94,137,0.1623,0.2366,$100–300M,Bedtime Stories
Confessions of a Shopaholic,2009-02-13,Romantic Comedy,PG,44277350,49767744,2009,2,February,1,2000,Winter,1.124000059,240,314,0.4145,0.5423,$10–50M,Confessions of a Shopaholic
Jonas Brothers: The 3D Concert Experi…,2009-02-27,Concert/Performance,G,38174685,38174685,2009,2,February,1,2000,Winter,1,259,358,0.4473,0.6183,$10–50M,Jonas Brothers
Race to Witch Mountain,2009-03-13,Adventure,PG,67172594,75501997,2009,3,March,1,2000,Spring,1.12400002,159,232,0.2746,0.4007,$50–100M,Race to Witch Mountain
Hannah Montana the Movie,2009-04-10,Drama,G,79576189,89443640,2009,4,April,2,2000,Spring,1.124000045,140,202,0.2418,0.3489,$50–100M,Hannah Montana the Movie
Earth,2009-04-22,Documentary,G,32011576,35981010,2009,4,April,2,2000,Spring,1.123999956,283,367,0.4888,0.6339,$10–50M,Earth
Up,2009-05-29,Adventure,PG,293004164,329336681,2009,5,May,2,2000,Spring,1.124000002,21,41,0.0363,0.0708,$100–300M,Up
The Proposal,2009-06-19,Romantic Comedy,PG-13,163958031,184288829,2009,6,June,2,2000,Summer,1.124000013,60,92,0.1036,0.1589,$100–300M,The Proposal
G-Force,2009-07-24,Adventure,PG,119436770,134246932,2009,7,July,3,2000,Summer,1.124000021,86,130,0.1485,0.2245,$100–300M,G-Force
Gake no ue no Ponyo,2009-08-14,Adventure,G,15090399,16961607,2009,8,August,3,2000,Summer,1.123999902,418,463,0.7219,0.7997,$10–50M,Gake no ue no Ponyo
X Games 3D: The Movie,2009-08-21,Documentary,PG,1391434,1563976,2009,8,August,3,2000,Summer,1.124003007,550,555,0.9499,0.9585,<$10M,X Games 3D
Walt and El Grupo,2009-09-10,Documentary,PG,20521,23064,2009,9,September,3,2000,Fall,1.123921836,574,574,0.9914,0.9914,<$10M,Walt and El Grupo
Surrogates,2009-09-25,Action,PG-13,38577772,43361416,2009,9,September,3,2000,Fall,1.124000007,257,338,0.4439,0.5838,$10–50M,Surrogates
Toy Story 3D Double Feature,2009-10-02,Adventure,G,30702446,34509545,2009,10,October,4,2000,Fall,1.12399986,290,372,0.5009,0.6425,$10–50M,Toy Story 3D Double Feature
Disney's A Christmas Carol,2009-11-06,Drama,PG,137855863,154927105,2009,11,November,4,2000,Fall,1.123833993,72,116,0.1244,0.2003,$100–300M,Disney's A Christmas Carol
The Princess and the Frog,2009-11-25,Adventure,G,104400899,116316457,2009,11,November,4,2000,Fall,1.114132715,98,152,0.1693,0.2625,$100–300M,The Princess and the Frog
Old Dogs,2009-11-25,Comedy,PG,49492060,55503929,2009,11,November,4,2000,Fall,1.121471383,223,286,0.3851,0.494,$10–50M,Old Dogs
When in Rome,2010-01-29,Romantic Comedy,PG-13,32680633,34917330,2010,1,January,1,2010,Winter,1.068441055,281,370,0.4853,0.639,$10–50M,When in Rome
Alice in Wonderland,2010-03-05,Adventure,PG,334191110,357063499,2010,3,March,1,2010,Spring,1.068441046,16,33,0.0276,0.057,>$300M,Alice in Wonderland
Waking Sleeping Beauty,2010-03-26,Documentary,PG,80741,86264,2010,3,March,1,2010,Spring,1.068403909,569,570,0.9827,0.9845,<$10M,Waking Sleeping Beauty
The Last Song,2010-03-31,Drama,PG,62950384,67258772,2010,3,March,1,2010,Spring,1.068441012,174,253,0.3005,0.437,$50–100M,The Last Song
Oceans,2010-04-22,Documentary,G,19422319,20751600,2010,4,April,2,2010,Spring,1.0684409,380,444,0.6563,0.7668,$10–50M,Oceans
Prince of Persia: Sands of Time,2010-05-28,Action,PG-13,90759676,96971361,2010,5,May,2,2010,Spring,1.068441022,115,182,0.1986,0.3143,$50–100M,Prince of Persia
Toy Story 3,2010-06-18,Adventure,G,415004880,443408255,2010,6,June,2,2010,Summer,1.068441063,8,19,0.0138,0.0328,>$300M,Toy Story 3
The Sorcerer's Apprentice,2010-07-14,Adventure,PG,63150991,67473105,2010,7,July,3,2010,Summer,1.068440953,173,252,0.2988,0.4352,$50–100M,The Sorcerer's Apprentice
Step Up 3D,2010-08-06,Drama,PG-13,42400223,45302137,2010,8,August,3,2010,Summer,1.068441008,248,329,0.4283,0.5682,$10–50M,Step Up 3D
Gedo Senki (Tales from Earthsea),2010-08-13,Adventure,PG-13,48658,51988,2010,8,August,3,2010,Summer,1.068436845,571,573,0.9862,0.9896,<$10M,Gedo Senki (Tales from Earthsea)
You Again,2010-09-24,Comedy,PG,25702053,27461121,2010,9,September,3,2010,Fall,1.068440758,325,411,0.5613,0.7098,$10–50M,You Again
