Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross,Release Year,Release Month,Release Month Name,Release Quarter,Decade,Season,Inflation Multiplier,Rank (Nominal),Rank (Inflation Adj),Pct (Nominal),Pct (Inflation Adj),Gross Bucket (Nominal),Franchise Tag
Can't Buy Me Love,1987-08-14,Romantic Comedy,PG-13,31623833,68181300,1987,8,August,3,1980,Summer,2.156009994,285,248,0.4922,0.4283,$10–50M,Can't Buy Me Love
Hello Again,1987-11-06,Comedy,PG,20419446,44024529,1987,11,November,4,1980,Fall,2.156009962,371,334,0.6408,0.5769,$10–50M,Hello Again
3 Men and a Baby,1987-11-25,Comedy,PG,167780960,353334607,1987,11,November,4,1980,Fall,2.105927913,59,37,0.1019,0.0639,$100–300M,3 Men and a Baby
Good Morning Vietnam,1987-12-23,Comedy,R,123922370,254414837,1987,12,December,4,1980,Winter,2.053017845,83,62,0.1434,0.1071,$100–300M,Good Morning Vietnam
Shoot to Kill,1988-02-12,Action,R,29300000,60097074,1988,2,February,1,1980,Winter,2.051094676,298,270,0.5147,0.4663,$10–50M,Shoot to Kill
D.O.A.,1988-03-18,Thriller/Suspense,R,12706478,26062188,1988,3,March,1,1980,Spring,2.051094568,436,415,0.753,0.7168,$10–50M,D.O.A.
Return to Snowy River,1988-04-15,Adventure,PG,13687027,28073384,1988,4,April,2,1980,Spring,2.051094368,427,408,0.7375,0.7047,$10–50M,Return to Snowy River
Big Business,1988-06-10,Comedy,PG,40150487,82352451,1988,6,June,2,1980,Summer,2.051094698,251,216,0.4335,0.3731,$10–50M,Big Business
Who Framed Roger Rabbit?,1988-06-22,Comedy,PG,154112492,316250084,1988,6,June,2,1980,Summer,2.052073001,63,42,0.1088,0.0725,$100–300M,Who Framed Roger Rabbit?
Cocktail,1988-07-29,Drama,R,78222753,160442289,1988,7,July,3,1980,Summer,2.051094891,141,108,0.2435,0.1865,$50–100M,Cocktail
The Rescue,1988-08-05,Action,PG,5855392,12009960,1988,8,August,3,1980,Summer,2.051094103,503,494,0.8687,0.8532,<$10M,The Rescue
Heartbreak Hotel,1988-09-30,Comedy,PG-13,5509417,11300331,1988,9,September,3,1980,Fall,2.051093791,510,499,0.8808,0.8618,<$10M,Heartbreak Hotel
The Good Mother,1988-11-04,Drama,R,4764606,9772655,1988,11,November,4,1980,Fall,2.051094046,517,510,0.8929,0.8808,<$10M,The Good Mother
Ernest Saves Christmas,1988-11-11,Comedy,PG,28202109,57845202,1988,11,November,4,1980,Fall,2.051094902,306,281,0.5285,0.4853,$10–50M,Ernest Saves Christmas
Oliver & Company,1988-11-18,Adventure,G,49576671,102254492,1988,11,November,4,1980,Fall,2.062552607,222,175,0.3834,0.3022,$10–50M,Oliver & Company
Beaches,1988-12-21,Drama,PG-13,57041866,120381757,1988,12,December,4,1980,Winter,2.110410571,192,142,0.3316,0.2453,$50–100M,Beaches
Three Fugitives,1989-01-27,Comedy,PG-13,40590000,85757817,1989,1,January,1,1980,Winter,2.112781892,250,210,0.4318,0.3627,$10–50M,Three Fugitives
New York Stories,1989-03-01,Drama,PG,10763469,22740861,1989,3,March,1,1980,Spring,2.112781762,453,435,0.7824,0.7513,$10–50M,New York Stories
Disorganized Crime,1989-04-14,Comedy,R,7210149,15233465,1989,4,April,2,1980,Spring,2.112780887,494,472,0.8532,0.8152,<$10M,Disorganized Crime
